metric,value
total_links,227
unique_domains,50
,
top_domains,count
item,59
from,30
hide,30
vote,29
user,29
,
all_links,
https://news.ycombinator.com,
news,
newest,
front,
newcomments,
ask,
show,
jobs,
submit,
login?goto=news,
vote?id=44769039&how=up&goto=news,
https://www.telotrucks.com/,
from?site=telotrucks.com,
user?id=turtleyacht,
item?id=44769039,
hide?id=44769039&goto=news,
item?id=44769039,
vote?id=44746621&how=up&goto=news,
https://blog.puzzmo.com/posts/2025/07/30/six-weeks-of-claude-code/,
from?site=puzzmo.com,
user?id=mike1o1,
item?id=44746621,
hide?id=44746621&goto=news,
item?id=44746621,
vote?id=44736025&how=up&goto=news,
https://www.helsinkitimes.fi/finland/finland-news/domestic/27539-helsinki-records-zero-traffic-deaths-for-full-year.html,
from?site=helsinkitimes.fi,
user?id=DaveZale,
item?id=44736025,
hide?id=44736025&goto=news,
item?id=44736025,
vote?id=44767555&how=up&goto=news,
https://eatonphil.com/2025-art-of-multiprocessor-programming.html,
from?site=eatonphil.com,
user?id=eatonphil,
item?id=44767555,
hide?id=44767555&goto=news,
item?id=44767555,
vote?id=44766508&how=up&goto=news,
https://www.newyorker.com/magazine/2025/07/21/ai-is-about-to-solve-loneliness-thats-a-problem,
from?site=newyorker.com,
user?id=defo10,
item?id=44766508,
hide?id=44766508&goto=news,
item?id=44766508,
vote?id=44768714&how=up&goto=news,
https://github.com/andrewarrow/starchive,
from?site=github.com/andrewarrow,
user?id=fcpguru,
item?id=44768714,
hide?id=44768714&goto=news,
item?id=44768714,
vote?id=44746529&how=up&goto=news,
https://www.xda-developers.com/the-internet-isnt-fully-ipv6-ready/,
from?site=xda-developers.com,
user?id=speckx,
item?id=44746529,
hide?id=44746529&goto=news,
item?id=44746529,
vote?id=44767433&how=up&goto=news,
https://forums.anandtech.com/,
from?site=anandtech.com,
user?id=kmfrk,
item?id=44767433,
hide?id=44767433&goto=news,
item?id=44767433,
vote?id=44730544&how=up&goto=news,
https://keygenmusic.tk,
from?site=keygenmusic.tk,
user?id=mifydev,
item?id=44730544,
hide?id=44730544&goto=news,
item?id=44730544,
vote?id=44745067&how=up&goto=news,
https://www.nucnet.org/news/microsoft-backed-fusion-company-begins-work-on-washington-nuclear-fusion-plant-7-4-2025,
from?site=nucnet.org,
